id,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,route_operator,number_of_buses
1912,Кривий Ріг,Бобринець,0,Укртрансбезпека ,399/400,Прямий та зворотній рейси виконуються Сер.Пт.Суб.Нед.,один,"М2, М3, В, ІІІ",,,,1+1
1913,Чернігів,Київ,1258839142768682310,Укртрансбезпека ,399/400,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1999 року,18.05.2011-17.05.2016,"ФОП Камлаченко А.Г., адреса: вул.Доценка, 8, кв.72, м.Чернігів, АЕ 268418",1+1
1914,Ровеньки,Донецьке,0,Укртрансбезпека ,399/400,щоденно,один,"М3, ІІІ",,,,1+1
1915,Олександрія,Дніпропетровськ,2253325190702938985,Укртрансбезпека ,399/400,щоденно,один,"М3, ІІІ",Починаючи з 1986 року,22.09.2011-21.09.2016,"ФОП Кузькін В.О., адреса: вул. Г.Сталінграда, 14, м.Олександрія, Кіровоградська область, 28005, АД 076697",1+1
1916,Охтирка,Полтава,3800856837017919686,Укртрансбезпека ,401/402,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1998 року,08.07.2015-07.07.2020,"ФОП Калюжний О.І., адреса: вул.Гончаренка, 1, кв.65, м.Охтирка, Сумська область, АЕ 572481",1+1
1917,Херсон,Снігурівка,7241314070310757630,Укртрансбезпека ,401/402,Прямий та зворотній рейси виконуються Вівт.Сер.Чт.Пт.Суб.Нед.,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2007 року,26.03.2015-25.03.2020,"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",1+1
1918,Первомайськ,Одеса,7400590442762268463,Мінінфраструктури,401/402,щоденно,один,"М3, ІІІ",Починаючи з 2008 року,29.05.2014-28.05.2019,"ПП ""Євротранс Юг"", адреса: вул. Новогрушівська, 9, с.Грушівка, Первомайський район, Миколаївська область, АВ 508607",1+1
1919,Луцьк,Червоноград,4098693504290662925,Укртрансбезпека ,401/402,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1988 року,16.12.2015-15.12.2020,"ФОП Михалюк Ю.П., адреса: вул. Молодіжна, 54, с.Маяки, Луцький район, Волинська область, АД 076930",1+1
1920,Львів,Івано,3908107732912709521,Укртрансбезпека ,401/402,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2000 року,14.10.2015-13.10.2020,"ТОВ ""АТП-12629"", адреса: вул.Юності, 52, с.Микитинці, м.Івано-Франківськ, 76492, АВ 510429",1+1
1921,Вінниця,Хмельницький,2772030085092766417,Укртрансбезпека ,401/402,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2007 року,29.09.2011-28.09.2016,"ТОВ ""ВІН ГС"", адреса: вул. Келецька, буд. 86, кв. 64, м.Вінниця, АГ 587305",1+1
1922,Харків,Суми,6105920468636877951,Укртрансбезпека ,401/402,щоденно,один,"М3, ІІІ",Починаючи з 1994 року,20.03.2014-19.03.2019,"ТОВ ""Транс-Регіон-Авто"", адреса: провулок Старомосковкьий, буд. 6А, м.Харків, АЕ 267988",1+1
1923,Охтирка,Полтава,3800856837017919686,Укртрансбезпека ,403/404,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2005 року,25.03.2014-24.03.2019,"ФОП Калюжний О.І., адреса: вул.Гончаренка, 1, кв.65, м.Охтирка, Сумська область, АЕ 572481",1+1
1924,Первомайськ,Одеса,7400590442762268463,Мінінфраструктури,403/404,щоденно,один,"М3, ІІІ",Починаючи з 2008 року,29.05.2014-28.05.2019,"ПП ""Євротранс Юг"", адреса: вул. Новогрушівська, 9, с.Грушівка, Первомайський район, Миколаївська область, АВ 508607",1+1
1925,Рівне,Світязь,9152540739329630837,Укртрансбезпека ,403/404,щоденно,один,"М3, ІІІ",Починаючи з 2006 року,14.10.2015-13.10.2020,"ТОВ ""Ліго-Транс"", адреса: вул. Булгакова, буд. 16, м.Київ, 03134,               AД 76971",1+1
1926,Тернопіль,Івано,737693869504495941,Укртрансбезпека ,403/404,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2007 року,01.07.2014-30.06.2019,"ФОП Стецик Т.В., адреса: вул.Київська, 14/155, м.Тернопіль, АД 038990",1+1
1927,Харків,Суми,8499587924275900772,Укртрансбезпека ,403/404,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,20.03.2014-19.03.2019,"ФОП Козаченко В.А., адреса: Горького, буд.40, кв. 88, м.Суми, АД 076958",1+1
1928,Київ,Монастирище,4490315838152902305,Укртрансбезпека ,405/406,Прямий та зворотній рейси виконуються Пт.Нед.,один,"М3, ІІІ",Починаючи з 2008 року,01.02.2012-31.01.2017,"ПрАТ ""Монастирищенське АТП 17140"", адреса: вул.Леніна, 173, м.Монастирище, Черкаська область, 19100, АГ 587259",1+1
1929,Херсон,Снігурівка,7241314070310757630,Укртрансбезпека ,405/406,Прямий та зворотній рейси виконуються Вівт.Сер.Чт.Пт.Суб.Нед.,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2007 року,26.03.2015-25.03.2020,"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",1+1
1930,Кременчук,Київ,6904860923472670754,Укртрансбезпека ,405/406,щоденно,один,"М3, ІІІ",Починаючи з 1988 року,27.09.2013-26.09.2018,"ПП ""Посполіта Сервіс"", адреса: вул. Колонтаївська, 67, м.Одеса, АЕ 593995",1+1
1931,Орлик,Дніпродзержинськ,5967598143125800655,Укртрансбезпека ,405/406,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2012 року,29.01.2015-28.01.2020,"ПП ""Матеріал-Сервіс"", адреса: Західний проїзд, 1-А, м.Дніпродзержинськ, Дніпропетровська область, АД 033061",1+1
1932,Харків,Скадовськ,836774752930999103,Укртрансбезпека ,405/406,"режим виконання- з 20.05. по 01.09 м-т Харків-Скадовськ, -з 02.09. по 19.05 м-т Харків-Дніпропетровськ",один,"М3, ІІІ",Починаючи з 1990 року,27.03.2011-26.03.2016-паритет,"ПП ""Корсар"", адреса: вул. Гагаріна, 132, м.Скадовськ, Херсонська область, АЕ 572416",2+1
1933,Кірове,Запоріжжя,2190149799359763620,Укртрансбезпека ,407/408,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1984 року,01.09.2011-31.08.2016,"ПП ""Експрес-АТП 11211"", адреса: вул. Нікопольська, 1, м.Марганець, Дніпропетровська область, АД 033775",1+1
1934,Красилів,Вінниця,7297869856978175556,Укртрансбезпека ,407/408,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2001 року,17.03.2011-16.03.2016,"ФОП Березюк С.С., адреса: вул. Партизанська, 62, м.Красилів, Хмельницька область, АЕ 422875",1+1
1935,Львів,Луцьк,2739773917094934829,Укртрансбезпека ,407/408,щоденно,один,"М3, ІІІ",Починаючи з 2008 року,27.05.2015-26.05.2020,"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",1+1
1936,Кременчук,Київ,6904860923472670754,Укртрансбезпека ,407/408,щоденно,один,"М3, ІІІ",Починаючи з 2008 року,27.09.2013-26.09.2018,"ПП ""Посполіта Сервіс"", адреса: вул. Колонтаївська, 67, м.Одеса, АЕ 593995",1+1
1937,Житомир,Залізний Порт,0,Укртрансбезпека ,407/408,в період з 01.06 по 15.09 виконується щоденно,один,"М3, ІІІ",,,,2+1
1938,Львів,Снятин,2739773917094934829,Укртрансбезпека ,409/410,щоденно,один,"М3, ІІІ",Починаючи з 2008 року,20.10.2011-19.10.2016,"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",1+1
1939,Кірове,Запоріжжя,2190149799359763620,Укртрансбезпека ,409/410,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1984 року,01.09.2011-31.08.2016,"ПП ""Експрес-АТП 11211"", адреса: вул. Нікопольська, 1, м.Марганець, Дніпропетровська область, АД 033775",1+1
1940,Короп,Глухів,6322972123992476989,Укртрансбезпека ,409/410,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2002 року,09.02.2014-08.02.2019,"ФОП Нерета О.М., адреса: вул.Чернігівська, 15, кв.8, смт.Короп, Коропський район, Чернігівська област, АГ 504507",1+1
1941,Київ,Новоград,0,Укртрансбезпека ,409/410,щоденно,один,"М3, ІІІ",,,,1+1
1942,Київ,Кременчук,6904860923472670754,Укртрансбезпека ,409/410,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,26.04.2014-25.04.2019,"ПП ""Посполіта Сервіс"", адреса: вул. Колонтаївська, 67, м.Одеса, АЕ 593995",1+1
1943,Київ,Тетіїв,6967279352208098411,Укртрансбезпека ,409/410,щоденно,один,"М3, ІІІ",Починаючи з 2008 року,29.05.2014-28.05.2019,"ФОП Сисак  В.А. адреса: вул.Нова, 20, м.Тетіїв, Київська область, АВ 508918",1+1
1944,Южноукраїнськ,Одеса,955228899376045801,Укртрансбезпека ,409/410,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,08.07.2015-07.07.2020,"ТОВ ""Август V"", адреса: вул.Кірова, 41, смт.Овідіополь, Овідіопольський район, Одеська область, АВ 532461",1+1
1945,Орлик,Дніпродзержинськ,5967598143125800655,Укртрансбезпека ,409/410,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2012 року,29.01.2015-28.01.2020,"ПП ""Матеріал-Сервіс"", адреса: Західний проїзд, 1-А, м.Дніпродзержинськ, Дніпропетровська область, АД 033061",1+1
1946,Сєвєроднецьк,Слов'янськ,0,Укртрансбезпека ,411/412,щоденно,один,"М2, М3, В, ІІ, ІІІ",,,,1+1
1947,Снятин,Львів,7609435315262999107,Укртрансбезпека ,411/412,щоденно,один,"М3, ІІІ",Починаючи з 1995 року,13.08.2011-12.08.2016,"ФОП Опирук П.В., адреса: с.Соколівка, Косівський район, Івано-Франківська область, АГ 504932",1+1
1948,Луганськ,Харків,0,Укртрансбезпека ,411/412,щоденно,один,"М3, ІІІ",,,,2+1
1949,Марганець,Запоріжжя,2190149799359763620,Укртрансбезпека ,411/412,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1984 року,01.09.2011-31.08.2016,"ПП ""Експрес-АТП 11211"", адреса: вул. Нікопольська, 1, м.Марганець, Дніпропетровська область, АД 033775",1+1
1950,Рівне,Лісова пісня,4098693504290662925,Укртрансбезпека ,411/412,щоденно,один,"М3, ІІІ",Починаючи з 1991 року,16.12.2015-15.12.2020,"ФОП Михалюк Ю.П., адреса: вул. Молодіжна, 54, с.Маяки, Луцький район, Волинська область, АД 076930",1+1
1951,Кременчук,Київ,6904860923472670754,Укртрансбезпека ,411/412,щоденно,один,"М3, ІІІ",Починаючи з 2000 року,27.09.2013-26.09.2018,"ПП ""Посполіта Сервіс"", адреса: вул. Колонтаївська, 67, м.Одеса, АЕ 593995",1+1
1952,Южноукраїнськ,Одеса,955228899376045801,Укртрансбезпека ,411/412,щоденно,один,"М3, ІІІ",Починаючи з 2000 року,08.07.2015-07.07.2020,"ТОВ ""Август V"", адреса: вул.Кірова, 41, смт.Овідіополь, Овідіопольський район, Одеська область, АВ 532461",1+1
1953,Сєвєроднецьк,Слов'янськ,0,Укртрансбезпека ,413/414,щоденно,один,"М2, М3, В, ІІІ",,,,1+1
1954,Верхній Березів,Чернівці,0,Укртрансбезпека ,413/414,щоденно,один,"М2, М3, В, ІІІ",,,,1+1
1955,Марганець,Запоріжжя,2190149799359763620,Укртрансбезпека ,413/414,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1984 року,01.09.2011-31.08.2016,"ПП ""Експрес-АТП 11211"", адреса: вул. Нікопольська, 1, м.Марганець, Дніпропетровська область, АД 033775",1+1
1956,Новоград,Сіверський,1044745465709388312,Укртрансбезпека ,413/414,Прямий та зворотній рейси виконуються Пт.Нед.,один,"М3, ІІІ",Починаючи з 2011 року,31.12.2014-30.12.2019,"ТОВ ""Автотранс"", адреса: вул.Борисенка, 60, м.Чернігів, АД 064899",1+1
1957,Донецьк,Львів,8769762610136514929,Укртрансбезпека ,413/414,щоденно,один,"М3, ІІІ",Починаючи з 1993 року,05.11.2014-08.02.2019,"ТОВ ""Місс -Тур"", адреса: площа Комунарів, Південний автовокзал, м.Донецьк, АГ 502928",2+1
1958,Кременчук,Київ,6904860923472670754,Укртрансбезпека ,413/414,щоденно,один,"М3, ІІІ",Починаючи з 2000 року,27.09.2013-26.09.2018,"ПП ""Посполіта Сервіс"", адреса: вул. Колонтаївська, 67, м.Одеса, АЕ 593995",1+1
1959,Полтава,Донецьк,5532728361651140896,Укртрансбезпека ,413/414,щоденно,один,"М3, ІІІ",Починаючи з 1990 року,24.11.2013-23.11.2018,"ФОП Литвин В.О. адреса: вул. Р.Люксенбург, 15/62, кв.30, м.Полтава, 36000, АГ 587905",2+1
1960,Коломия,Трускавець,4070788995726023027,Укртрансбезпека ,415/416,щоденно,один,"М3, ІІІ",Починаючи з 2006 року,09.05.2015-08.05.2020,"ПАТ ""Коломийське АТП"", адреса:пр-т М.Грушевського, 94, м.Коломия, Івано-Франківська область, 78200, АГ 593931",2+1
1961,Хмельницький,Житомир,7113667832204452471,Укртрансбезпека ,415/416,щоденно,один,"М3, ІІІ",Починаючи з 2004 року,21.07.2011-20.07.2016,"ФОП Вознюк А.П., адреса: вул. Довженка, буд. 16, кв. 66, м.Хмельницький, АВ 616908",1+1
1962,Сєвєроднецьк,Краматорськ,2899419074538390242,Укртрансбезпека ,415/416,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1996 року,15.12.2013-14.12.2018,"ФОП Саян М.Р., адреса: просп. Гвардійський, буд.81, кв.60, м.Сєвєродонецьк, Луганська область, АД 033930",1+1
1963,Рівне,Тернопіль,400090380638691323,Укртрансбезпека ,415/416,щоденно,один,"М3, ІІІ",Починаючи з 1999 року,28.10.2015-27.10.2020,"ФОП Загиней В.Д., адреса: вул.С.Крушельницької, 52, кв.2, м.Рівне, АВ 510474",1+1
1964,Нововолинськ,Київ,0,Укртрансбезпека ,415/416,щоденно,один,"М3, ІІІ",,,,2+1
1965,Петрове,Кривий Ріг,4224356024460230280,Укртрансбезпека ,415/416,Прямий та зворотній рейси виконуються Пон.Сер.Пт.Суб.Нед.,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1984 року,23.06.11-22.06.2016,"ФОП Новак М.В., адреса: вул. Жовтнева, 114, смт.Петрове, Петрівський район, Кіровоградська область, АД 062362",1+1
1966,Іллінці,Київ,5376927711629216189,Укртрансбезпека ,415/416,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,07.09.2015-06.09.2020,"ТОВ ""Липовець АТП"", адреса: вул.Леніна,121-А, м.Липовець, Вінницька область, АД 062450",1+1
1967,Одеса,Южноукраїнськ,9005414703213827213,Укртрансбезпека ,415/416,щоденно,один,"М3, ІІІ",Починаючи з 2012 року,11.04.2015-10.04.2020,"ПАТ ""Північтранс"", адреса: 21 км Старокиївської дороги, м.Одеса, АГ 587970",2+1
1968,Жмеринка,Житомир,1107501224130001523,Укртрансбезпека ,417/418,щоденно,один,"М3, ІІІ",Починаючи з 2005 року,19.05.2011-18.05.2016,"ПрАТ ""Жмеринське АТП - 10512"", адреса: вул.Київська, 115, м.Жмеринка, Вінницька область, АГ 588974",1+1
1969,Городенка,Хмельницький,0,Укртрансбезпека ,417/418,щоденно,один,"М3, ІІІ",,,,1+1
1970,Київ,Теплик,850400149793957596,Укртрансбезпека ,417/418,щоденно,один,"М3, ІІІ",Починаючи з 1993 року,17.07.2014-16.07.2019,"ПрАТ ""Теплицьке  АТП 10553"", адреса: вул. І.Франка, 10, смт.Теплик, Теплицький район, Вінницька область, АГ 503316",1+1
1971,Лисівка,Київ,0,Укртрансбезпека ,417/418,щоденно,один,"М2, М3, В, ІІІ",,,,1+1
1972,Полтава,Дніпропетровськ,7693999212615983866,Укртрансбезпека ,417/418,щоденно,один,"М3, ІІІ",Починаючи з 2006 року,24.09.2015-23.09.2020,"ТОВ ""АВА-Експрес"", адреса: вул.Чураївни, 5, кв. 157, м.Полтава, 36037, АЕ 266377",1+1
1973,Петрове,Кривий Ріг,4224356024460230280,Укртрансбезпека ,417/418,Прямий та зворотній рейси виконуються Пон.Вівт.Сер.Чт.Суб.,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1984 року,23.06.2011-22.06.2016,"ФОП Новак М.В., адреса: вул. Жовтнева, 114, смт.Петрове, Петрівський район, Кіровоградська область, АД 062362",1+1
1974,Коростень,Вінниця,6592077624634029754,Укртрансбезпека ,417/418,щоденно,один,"М3, ІІІ",Починаючи з 1989 року,21.04.2011-20.04.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
1975,Жмеринка,Житомир,1107501224130001523,Укртрансбезпека ,419/420,щоденно,один,"М3, ІІІ",Починаючи з 2005 року,19.05.2011-18.05.2016,"ПрАТ ""Жмеринське АТП - 10512"", адреса: вул.Київська, 115, м.Жмеринка, Вінницька область, АГ 588974",1+1
1976,Рівне,Олевськ,0,Укртрансбезпека ,419/420,Прямий та зворотній рейси виконуються Пон.Вівт.Сер.Чт.Пт.Нед.,один,"М3, ІІІ",,,,1+1
1977,Запоріжжя,Рубанівка,726822774565328370,Укртрансбезпека ,419/420,щоденно,один,"М3, ІІІ",Починаючи з 2006 року,20.10.2011-19.10.2016,"ВАТ ""В.Лепетиське АТП 16543"", адреса: вул.Некрасова, 49, смт.Велика Лепетиха, Великолепетиський район, Херсонська область, АЕ 189986",1+1
1978,Чернігів,Славутич,6737186358999999803,Укртрансбезпека ,419/420,Прямий та зворотній рейси Пон.Пт.Суб.Нед.,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2004 року,26.12.2015-25.12.2020,"ДП КП ""АТАСС"", адреса: вул. Ентузіастів, буд. 6, м.Славутич, Київська область, 07100, АЕ 421280",1+1
1979,Житомир,Київ,3052950459888539465,Укртрансбезпека ,419/420,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2009 року,18.11.2011-17.11.2016,"БПП ""Фаворит-Люкс"", адреса: вул.Гоголівська, буд.4, м.Житомир, АГ 584510",1+1
1980,Кам'янець,Подільський,2574593991687580768,Укртрансбезпека ,421/422,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,29.05.2014-28.05.2019,"ФОП Пелешок В.М., адреса: вул.Радянська, 39, кв.1, м.Новоград-Волинський, Житомирська область, АД 064742",2+1
1981,Володимирець,Запоріжжя,7759711403456956833,Укртрансбезпека ,421/422,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2000 року,25.02.2014-24.02.2019,"ТОВ ""Автогосподарство ""Козацька Лава"", адреса: вул.40-років Радянської України, 86-А, кв.47, м.Запоріжжя, АГ 591187",1+1
1982,Рівне,Олевськ,0,Укртрансбезпека ,421/422,щоденно,один,"М3, ІІІ",,,,1+1
1983,Тернопіль,Львів,7182267899889789482,Укртрансбезпека ,421/422,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1990 року,18.02.2014-17.02.2019,"ФОП Чайківський Б.Ю., адреса: пр-т Злуки, 37, кв.4, м.Тернопіль, АД 062256",1+1
1984,Монастириська,Івано,0,Укртрансбезпека ,421/422,щоденно,один,"М2, М3, В, ІІ, ІІІ",,,,1+1
1985,Шахтарськ,Бердянськ,3301578941988480434,Укртрансбезпека ,421/422,щоденно,один,"М3, ІІІ",Починаючи з 2008 року,15.01.2011-14.01.2016,"ФОП Гончар С.О., адреса: вул.Єфремова, 40, м.Горлівка, Донецька область, 84635, АГ 509555",1+1
1986,Кривий Ріг,Новомиргород,7311843664442007205,Укртрансбезпека ,421/422,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,06.06.2015-05.06.2020,"ТОВ ""ТСК-Авто"", адреса: вул. Урицького, буд. 4, м.Кривий Ріг, Дніпропетровська область, АВ 616229",1+1
1987,Суми,Харків,4608068584961311613,Укртрансбезпека ,421/422,щоденно,один,"М3, ІІІ",Починаючи з 1999 року,07.06.2012-06.06.2017,"ТОВ ""Інформлюкс"", адреса: вул. Горького, буд. 40, кв.88, м.Суми, АД 038917",1+1
1988,Житомир,Київ,3052950459888539465,Укртрансбезпека ,421/422,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2008 року,18.11.2011-17.11.2016,"БПП ""Фаворит-Люкс"", адреса: вул.Гоголівська, буд.4, м.Житомир, АГ 584510",1+1
1989,Миколаїв,Умань,0,Укртрансбезпека ,421/422,щоденно,один,"М3, ІІІ",,,,2+1
1990,Канів,Київ,8849698065676361661,Укртрансбезпека ,423/424,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2008 року,19.02.2015-18.02.2020,"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",1+1
1991,Городенка,Чернівці,8188604899592764321,Укртрансбезпека ,423/424,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1988 року,14.04.2011-13.04.2016,"ФОП Пундик П. М., адреса: вул. Галицька 70, с.Олієво-Королівка, Городенківський район, Івано-Франківська область, АЕ 421296",1+1
1992,Орджонікідзе,Запоріжжя,3474962678738042219,Укртрансбезпека ,423/424,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2005 року,31.12.2011-30.12.2016,"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, АГ 588977",1+1
1993,Володимирець,Запоріжжя,7759711403456956833,Укртрансбезпека ,423/424,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2000 року,25.02.2014-24.02.2019,"ТОВ ""Автогосподарство ""Козацька Лава"", адреса: вул.40-років Радянської України, 86-А, кв.47, м.Запоріжжя, АГ 591187",1+1
1994,Київ,Бершадь,4111714161286822951,Укртрансбезпека ,423/424,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,17.03.2011-16.03.2016,"ВАТ ""Бершадське АТП 10527"", адреса: вул.Тітова, буд.2, м.Бершадь, Вінницька область, АД 038320",2+1
1995,Одеса,Херсон,224296707656935963,Укртрансбезпека ,423/424,щоденно,один,"М3, ІІІ",Починаючи з 1997 року,18.08.2011-17.08.2016,"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",1+1
1996,Київ,Лисянка,4189887524596577246,Укртрансбезпека ,423/424,щоденно,один,"М3, ІІІ",Починаючи з 2009 року,17.09.2013-16.09.2018,"ТДВ ""Звенигородське АТП 17108"", адреса: вул. Шевченка,4, м.Звенигородка, Черкаська область, АГ 589152",1+1
1997,Короп,Конотоп,6322972123992476989,Укртрансбезпека ,423/424,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1998 року,16.11.2013-15.11.2018,"ФОП Нерета О.М., адреса: вул.Чернігівська, 15, кв.8, смт.Короп, Коропський район, Чернігівська област, АГ 504507",1+1
1998,Тернопіль,Івано,2048097506055816846,Укртрансбезпека ,423/424,щоденно,один,"М2, М3, В, ІІІ",Поччинаючи з 2000 року,13.12.2011-12.12.2016,"ТОВ ""Бучацьке АТП 16139"", адреса: вул.C.Бандери,  10, м.Бучач, Тернопільська область, 48403, АВ 532596",1+1
1999,Макіївка,Бердянськ,6467125776214151134,Укртрансбезпека ,423/424,в період з 01.05 по 30.09 виконується щоденно,один,"М3, ІІІ",Починаючи з 2007 року,01.02.2012-31.01.2017,"ФОП Мамедов Д.Г. , адреса: вул. Чайковського, буд. 10 В, м.Селидове, Донецька область, 58400, АЕ 572212",1+1
2000,Суми,Харків,0,Укртрансбезпека ,423/424,щоденно,один,"М3, ІІІ",,,,1+1
2001,Макіївка,Бердянськ,0,Укртрансбезпека ,425/426,в період з 01.04 по 01.10 виконується щоденн,один,"М3, ІІІ",,,,1+1
2002,Чернівці,Коломия,7980170169819784022,Укртрансбезпека ,425/426,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,17.03.2011-16.03.2016,"ФОП Борденюк В.І., адреса: вул Московська, 102, м.Чернівці, АВ 532211",1+1
2003,Орджонікідзе,Запоріжжя,3474962678738042219,Укртрансбезпека ,425/426,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2005 року,31.12.2011-30.12.2016,"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, АГ 588977",1+1
2004,Монастириська,Тернопіль,2048097506055816846,Укртрансбезпека ,425/426,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2009 року,18.02.2014-17.02.2019,"ТОВ ""Бучацьке АТП 16139"", адреса: вул.C.Бандери,  10, м.Бучач, Тернопільська область, 48403, АВ 532596",1+1
2005,Тернопіль,Львів,7182267899889789482,Укртрансбезпека ,425/426,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1990 року,18.02.2014-17.02.2019,"ФОП Чайківський Б.Ю., адреса: пр-т Злуки, 37, кв.4, м.Тернопіль, АД 062256",1+1
2006,Трускавець,Ковель,7310874448169302128,Укртрансбезпека ,425/426,щоденно,один,"М3, ІІІ",Починаючи з 2011 року,06.03.2012-05.03.2017,"ТОВ ""Самбірське  АТП 14608"", адреса: вул.Нова, 12, с.Новосілки-гостинні, Самбірський район, Львівська область, АГ 587992",1+1
2007,Кременчук,Деріївка,0,Укртрансбезпека ,425/426,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",,,,1+1
2008,Суми,Харків,0,Укртрансбезпека ,425/426,щоденно,один,"М3, ІІІ",,,,1+1
2009,Житомир,Київ,3052950459888539465,Укртрансбезпека ,425/426,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2009 року,18.11.2011-17.11.2016,"БПП ""Фаворит-Люкс"", адреса: вул.Гоголівська, буд.4, м.Житомир, АГ 584510",1+1
2010,Чернівці,Коломия,7980170169819784022,Укртрансбезпека ,427/428,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2003 року,17.03.2011-16.03.2016,"ФОП Борденюк В.І., адреса: вул Московська, 102, м.Чернівці, АВ 532211",1+1
2011,Волочиськ,Львів,5694392254123038703,Укртрансбезпека ,427/428,щоденно,один,"М3, ІІІ",Починаючи з 1992 року,19.01.2014-18.01.2019,"ТОВ ""АТП ""Престиж"", адреса: вул. Копачівська, 2, м.Волочиськ, Хмельницька область,АВ 610198 ",1+1
2012,Запоріжжя,Ялта,0,Укртрансбезпека ,427/428,в період з 01.05 по 15.10 виконується щоденно,один,"М3, ІІІ",,,,2+1
2013,Маринівка,Одеса,5979537628928430093,Укртрансбезпека ,427/428,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,01.09.2015-31.08.2020,"ФОП Устименко Л.Г., адреса: вул.Лихого, 33, смт.Доманівка, Доманівський район, Миколаївська область, АГ 502687",1+1
2014,Котельва,Харків,363855261601940664,Укртрансбезпека ,427/428,Прямий та зворотній рейси виконуються Вівт.Сер.Чт.Суб.Нед.,один,"М3, ІІІ",Починаючи з 1997 року,22.05.2015-21.05.2020,"ФОП Луценко О.І., адреса: вул.Декабристів, 34, смт.Котельва, Котелевський район, Полтавська область, АЕ 421204",1+1
2015,Сніжне,Дніпропетровськ,6615705292165841547,Укртрансбезпека ,427/428,щоденно,один,"М3, ІІІ",Починаючи з 1999 року,19.05.2013-18.05.2018,"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",1+1
2016,Київ,Кривий Ріг,2487643066672813408,Укртрансбезпека ,427/428,щоденно,один,"М3, ІІІ",Починаючи з 1994 року,26.06.2011-24.06.2016,"ФОП Терещенко В.Ф., адреса:бул.Кірова, 27, кв.69, м.Кривий Ріг, Дніпропетровська область, АВ 610943 ",2+1
